HS,CN,__index_level_0__,label,score
musulmanes terroristas,ignorancia conduce odio,0,LABEL_1,0.5674764513969421
musulmanes terroristas,si caso planeta sido diezmado dada cantidad musulmanes,1,LABEL_1,0.5674764513969421
musulmanes terroristas,minoría desviada representa creyentes musulmanes,2,LABEL_1,0.5674764513969421
musulmanes terroristas,entonces sacerdotes pedófilos alemanes nazis,3,LABEL_1,0.5674764513969421
musulmanes terroristas,si caso ningún cristiano judío pagano podría haber vivido tierra musulmana después época profeta,4,LABEL_1,0.5674764513969421
musulmanes terroristas,reflexión demuestra aprendizaje vital,5,LABEL_1,0.5674764513969421
musulmanes terroristas,respondo pregunta pregunta busca provocar,6,LABEL_1,0.5674764513969421
musulmanes terroristas,primero aprenda musulmán juzgar,7,LABEL_1,0.5674764513969421
musulmanes terroristas,juzgar fácil tómate tiempo conocerlos sé inteligente,8,LABEL_1,0.5674764513969421
musulmanes terroristas,generalidad siempre mal,9,LABEL_1,0.5674764513969421
musulmanes terroristas,musulmán definición opuesto terror,10,LABEL_1,0.5674764513969421
musulmanes terroristas,atajo nunca mejor manera expresarse,11,LABEL_1,0.5674764513969421
musulmanes terroristas,musulmán comete masacre simplemente tonto criminal,12,LABEL_1,0.5674764513969421
musulmanes terroristas,islam condena terrorismo,13,LABEL_1,0.5674764513969421
musulmanes terroristas,casi musulmanes viven paz religiones,14,LABEL_1,0.5674764513969421
musulmanes terroristas,terrorismo religioso existe todas religiones sigue siendo minoría infinitamente pequeña,15,LABEL_1,0.5674764513969421
musulmanes terroristas,musulmanes terroristas toda tierra guerra civil tan equivocado,16,LABEL_1,0.5674764513969421
musulmanes terroristas,mil millones terroristas creamos conflictos,17,LABEL_1,0.5674764513969421
musulmanes terroristas,millones musulmanes mundo entonces millones terroristas,18,LABEL_1,0.5674764513969421
musulmanes terroristas,millones musulmanes francia si terroristas francia sido baño sangre hace tiempo,19,LABEL_1,0.5674764513969421
musulmanes terroristas,actualizar vocabulario intentar mezclarlo amalgamas si divierte decir sacerdotes pedófilos judíos gusta dinero podría decir mismo coeficiente intelectual usted,20,LABEL_1,0.5674764513969421
musulmanes terroristas,falso islam religión paz mayoría musulmanes asia curiosamente nadie habla,21,LABEL_1,0.5674764513969421
musulmanes terroristas,religión seguidores así destruirla medios hacemos amalgamas,22,LABEL_1,0.5674764513969421
musulmanes terroristas,aquellos afirman justifican así propios abusos,23,LABEL_1,0.5674764513969421
musulmanes terroristas,musulmanes vida sagrada mata hombre si matara toda humanidad,24,LABEL_1,0.5674764513969421
musulmanes terroristas,razonamiento contradicción musulmanes mil millones tierra millones francia si afirmación cierta víctimas,25,LABEL_1,0.5674764513969421
musulmanes terroristas,competir víctima terrorismo causa muchas víctimas musulmanas,26,LABEL_1,0.5674764513969421
musulmanes terroristas,terrorista puede ser musulmán sólo alá decide fin toda vida condena infierno cualquier asociado autoproclamado,27,LABEL_1,0.5674764513969421
musulmanes terroristas,ésta generalización subjetiva errónea,28,LABEL_1,0.5674764513969421
musulmanes terroristas,significa terrorismo,29,LABEL_1,0.5674764513969421
musulmanes terroristas,cristianos esclavistas racistas profunda cualidad humana judíos banqueros deshonestos comienzan todas frases acerca vida verdad chinos trabajadores mal pagados comienzan todas frases extranjero honorable indios operadores centralitas postran frente vacas vives mundo existe despierta,30,LABEL_1,0.5674764513969421
musulmanes terroristas,ustedes valientes luchadores libertad arriesgan vida escribir mensaje tener cuenta infinitos peligros avecinan haberse atrevido pronunciar tales palabras según cómplices maestros secretos mundo,31,LABEL_1,0.5674764513969421
musulmanes terroristas,última vez líder mostró tan inflexible minoría país trató exterminarlos físicamente,32,LABEL_1,0.5674764513969421
musulmanes terroristas,creo si caso oportunidad decirlo,33,LABEL_1,0.5674764513969421
musulmanes terroristas,paz,34,LABEL_1,0.5674764513969421
